monster1,monster2,m1_win_pct,m2_win_pct,balance
Barbed Devil,Cloaker,50.5,49.5,49.5
Basilisk,Mummy,50.5,49.5,49.5
Basilisk,Succubus/Incubus,50.5,49.5,49.5
Bearded Devil,Green Dragon Wyrmling,49.5,50.5,49.5
Black Pudding,Merrow,49.5,50.5,49.5
Blink Dog,Hobgoblin,50.5,49.5,49.5
Boar,Dryad,49.5,50.5,49.5
Boar,Giant Badger,49.5,50.5,49.5
Bronze Dragon Wyrmling,Dire Wolf,49.5,50.5,49.5
Bronze Dragon Wyrmling,Hell Hound,49.5,50.5,49.5
Chuul,Wraith,49.5,50.5,49.5
Cloaker,"Weretiger, Hybrid Form",49.5,50.5,49.5
Cloaker,"Weretiger, Tiger Form",49.5,50.5,49.5
Couatl,Deva,49.5,50.5,49.5
Deep Gnome (Svirfneblin),Giant Owl,50.5,49.5,49.5
Deep Gnome (Svirfneblin),Reef Shark,49.5,50.5,49.5
Deep Gnome (Svirfneblin),Shadow,50.5,49.5,49.5
Fire Giant,Planetar,50.5,49.5,49.5
Ghast,Giant Hyena,49.5,50.5,49.5
Ghast,Green Dragon Wyrmling,49.5,50.5,49.5
Giant Centipede,Lemure,49.5,50.5,49.5
Giant Crocodile,Shield Guardian,49.5,50.5,49.5
Giant Crocodile,Young Brass Dragon,50.5,49.5,49.5
Giant Eagle,Lion,49.5,50.5,49.5
Giant Eagle,Specter,50.5,49.5,49.5
Giant Frog,Giant Wasp,50.5,49.5,49.5
Giant Frog,Panther,50.5,49.5,49.5
Giant Goat,Swarm of Ravens,49.5,50.5,49.5
Giant Lizard,Giant Owl,50.5,49.5,49.5
Giant Scorpion,Swarm of Quippers,50.5,49.5,49.5
Giant Wolf Spider,Noble,50.5,49.5,49.5
Grimlock,Magma Mephit,50.5,49.5,49.5
Guardian Naga,"Werebear, Bear Form",49.5,50.5,49.5
Guardian Naga,"Werebear, Hybrid Form",49.5,50.5,49.5
Half-Red Dragon Veteran,Silver Dragon Wyrmling,50.5,49.5,49.5
Lizard,Quipper,50.5,49.5,49.5
Lizard,Weasel,50.5,49.5,49.5
Medusa,"Wereboar, Boar Form",50.5,49.5,49.5
Medusa,"Wereboar, Hybrid Form",50.5,49.5,49.5
Mule,Quasit,50.5,49.5,49.5
Ochre Jelly,Swarm of Poisonous Snakes,50.5,49.5,49.5
Pony,Riding Horse,50.5,49.5,49.5
Riding Horse,Swarm of Rats,49.5,50.5,49.5
Rust Monster,Thug,50.5,49.5,49.5
Swarm of Bats,Swarm of Rats,49.5,50.5,49.5
Troll,Winter Wolf,50.5,49.5,49.5
"Wereboar, Human Form","Wereboar, Hybrid Form",49.5,50.5,49.5
Androsphinx,Cloud Giant,49.0,51.0,49.0
Ape,Darkmantle,49.0,51.0,49.0
Azer,Giant Scorpion,49.0,51.0,49.0
Bandit,Dretch,49.0,51.0,49.0
Bandit Captain,Succubus/Incubus,49.0,51.0,49.0
Bearded Devil,Bugbear,51.0,49.0,49.0
Berserker,Silver Dragon Wyrmling,51.0,49.0,49.0
Black Bear,Hobgoblin,49.0,51.0,49.0
Black Bear,Priest,51.0,49.0,49.0
Black Pudding,Green Dragon Wyrmling,51.0,49.0,49.0
Blue Dragon Wyrmling,"Wereboar, Human Form",51.0,49.0,49.0
Brass Dragon Wyrmling,Thug,51.0,49.0,49.0
Bronze Dragon Wyrmling,Mimic,51.0,49.0,49.0
Chuul,Rakshasa,51.0,49.0,49.0
Copper Dragon Wyrmling,Death Dog,51.0,49.0,49.0
Crocodile,Draft Horse,51.0,49.0,49.0
Crocodile,Flying Sword,49.0,51.0,49.0
Crocodile,Ghoul,51.0,49.0,49.0
Crocodile,Orc,49.0,51.0,49.0
Cultist,Quasit,51.0,49.0,49.0
Darkmantle,Orc,49.0,51.0,49.0
Darkmantle,"Wererat, Hybrid Form",51.0,49.0,49.0
Darkmantle,"Wererat, Rat Form",51.0,49.0,49.0
Dire Wolf,Giant Octopus,51.0,49.0,49.0
Drider,Hunter Shark,51.0,49.0,49.0
Drow,Giant Poisonous Snake,49.0,51.0,49.0
Earth Elemental,Young Black Dragon,49.0,51.0,49.0
Elk,Giant Poisonous Snake,51.0,49.0,49.0
Erinyes,"Werebear, Bear Form",49.0,51.0,49.0
Erinyes,"Werebear, Hybrid Form",49.0,51.0,49.0
Ettin,Lamia,49.0,51.0,49.0
Flying Sword,Giant Goat,49.0,51.0,49.0
Flying Sword,Reef Shark,51.0,49.0,49.0
Ghost,Medusa,49.0,51.0,49.0
Giant Badger,Giant Weasel,51.0,49.0,49.0
Giant Badger,Grimlock,49.0,51.0,49.0
Giant Bat,Giant Goat,49.0,51.0,49.0
Giant Crab,Giant Wasp,49.0,51.0,49.0
Giant Crab,Panther,49.0,51.0,49.0
Giant Eagle,Mage,51.0,49.0,49.0
Giant Frog,Magmin,51.0,49.0,49.0
Giant Lizard,Giant Vulture,49.0,51.0,49.0
Giant Owl,Spy,49.0,51.0,49.0
Giant Owl,Swarm of Ravens,49.0,51.0,49.0
Giant Weasel,Ice Mephit,49.0,51.0,49.0
Giant Wolf Spider,Goblin,51.0,49.0,49.0
Gnoll,Lizardfolk,51.0,49.0,49.0
Goat,Hyena,51.0,49.0,49.0
Goblin,Grimlock,51.0,49.0,49.0
Griffon,Veteran,51.0,49.0,49.0
Half-Red Dragon Veteran,Vampire Spawn,49.0,51.0,49.0
Harpy,Lion,49.0,51.0,49.0
Harpy,Warhorse,49.0,51.0,49.0
Imp,Magma Mephit,51.0,49.0,49.0
Imp,Zombie,51.0,49.0,49.0
Lamia,Oni,51.0,49.0,49.0
Magmin,Priest,49.0,51.0,49.0
Mimic,Polar Bear,49.0,51.0,49.0
Noble,Pony,51.0,49.0,49.0
Oni,Wraith,51.0,49.0,49.0
Owlbear,Spirit Naga,49.0,51.0,49.0
Rakshasa,Wraith,49.0,51.0,49.0
Rhinoceros,Vampire Spawn,51.0,49.0,49.0
Shadow,Swarm of Ravens,51.0,49.0,49.0
Spirit Naga,Unicorn,51.0,49.0,49.0
Spy,"Wererat, Hybrid Form",49.0,51.0,49.0
Spy,"Wererat, Rat Form",49.0,51.0,49.0
Triceratops,Young Black Dragon,49.0,51.0,49.0
"Vampire, Bat Form",Water Elemental,49.0,51.0,49.0
Adult Blue Dragon,Planetar,48.5,51.5,48.5
Ape,Ghoul,48.5,51.5,48.5
Assassin,Pegasus,51.5,48.5,48.5
Awakened Tree,"Weretiger, Hybrid Form",51.5,48.5,48.5
Awakened Tree,"Weretiger, Tiger Form",51.5,48.5,48.5
Barbed Devil,Nightmare,51.5,48.5,48.5
Berserker,Pegasus,51.5,48.5,48.5
Black Dragon Wyrmling,Gargoyle,51.5,48.5,48.5
Black Pudding,Dire Wolf,48.5,51.5,48.5
Blink Dog,Giant Poisonous Snake,51.5,48.5,48.5
Blood Hawk,Cultist,48.5,51.5,48.5
Blue Dragon Wyrmling,Ghost,48.5,51.5,48.5
Brown Bear,Ochre Jelly,48.5,51.5,48.5
Bugbear,Giant Boar,48.5,51.5,48.5
Bulette,Roper,51.5,48.5,48.5
Chain Devil,Chimera,48.5,51.5,48.5
Chain Devil,Wraith,51.5,48.5,48.5
Cloaker,Nightmare,51.5,48.5,48.5
Copper Dragon Wyrmling,Duergar,51.5,48.5,48.5
Copper Dragon Wyrmling,Grick,48.5,51.5,48.5
Crocodile,Spy,48.5,51.5,48.5
Crocodile,"Wererat, Hybrid Form",51.5,48.5,48.5
Crocodile,"Wererat, Rat Form",51.5,48.5,48.5
Cultist,Dryad,48.5,51.5,48.5
Deep Gnome (Svirfneblin),Flying Sword,51.5,48.5,48.5
Deep Gnome (Svirfneblin),Gnoll,51.5,48.5,48.5
Deep Gnome (Svirfneblin),Orc,48.5,51.5,48.5
Dretch,Giant Wolf Spider,48.5,51.5,48.5
Drow,Hobgoblin,51.5,48.5,48.5
Fire Elemental,Minotaur Skeleton,51.5,48.5,48.5
Flesh Golem,Minotaur Skeleton,51.5,48.5,48.5
Frost Giant,Horned Devil,48.5,51.5,48.5
Ghost,Owlbear,48.5,51.5,48.5
Giant Boar,Giant Hyena,51.5,48.5,48.5
Giant Crab,Giant Sea Horse,48.5,51.5,48.5
Giant Fire Beetle,Goat,48.5,51.5,48.5
Giant Frog,Giant Sea Horse,48.5,51.5,48.5
Giant Frog,Gray Ooze,51.5,48.5,48.5
Giant Frog,Zombie,51.5,48.5,48.5
Giant Hyena,Giant Octopus,51.5,48.5,48.5
Giant Lizard,Shadow,48.5,51.5,48.5
Giant Owl,Hippogriff,48.5,51.5,48.5
Giant Sea Horse,Wolf,48.5,51.5,48.5
Giant Shark,Gorgon,51.5,48.5,48.5
Giant Toad,Warhorse Skeleton,51.5,48.5,48.5
Giant Weasel,Magmin,48.5,51.5,48.5
Gibbering Mouther,Medusa,48.5,51.5,48.5
Grick,Ochre Jelly,48.5,51.5,48.5
Grimlock,Panther,48.5,51.5,48.5
Harpy,Mage,51.5,48.5,48.5
Harpy,Satyr,48.5,51.5,48.5
Hawk,Octopus,51.5,48.5,48.5
Hell Hound,Merrow,48.5,51.5,48.5
Hell Hound,Mimic,51.5,48.5,48.5
Hezrou,Young White Dragon,48.5,51.5,48.5
Hill Giant,Shield Guardian,51.5,48.5,48.5
Hobgoblin,Swarm of Rats,51.5,48.5,48.5
Ice Devil,Young Blue Dragon,48.5,51.5,48.5
Imp,Wolf,51.5,48.5,48.5
Lamia,Salamander,51.5,48.5,48.5
Octopus,Stirge,51.5,48.5,48.5
Pegasus,Vampire Spawn,51.5,48.5,48.5
Pony,Wolf,51.5,48.5,48.5
Pseudodragon,Steam Mephit,48.5,51.5,48.5
Raven,Stirge,51.5,48.5,48.5
Silver Dragon Wyrmling,"Wereboar, Boar Form",48.5,51.5,48.5
Silver Dragon Wyrmling,"Wereboar, Hybrid Form",48.5,51.5,48.5
Spider,Stirge,51.5,48.5,48.5
Sprite,Stirge,51.5,48.5,48.5
Warhorse,Warhorse Skeleton,48.5,51.5,48.5
Ancient Gold Dragon,Ancient Red Dragon,52.0,48.0,48.0
Animated Armor,White Dragon Wyrmling,52.0,48.0,48.0
Assassin,Half-Red Dragon Veteran,48.0,52.0,48.0
Assassin,Medusa,48.0,52.0,48.0
Bandit,Giant Badger,52.0,48.0,48.0
Berserker,Ogre,48.0,52.0,48.0
Blink Dog,Swarm of Bats,52.0,48.0,48.0
Blood Hawk,Mule,52.0,48.0,48.0
Blue Dragon Wyrmling,Giant Constrictor Snake,52.0,48.0,48.0
Brass Dragon Wyrmling,Swarm of Beetles,52.0,48.0,48.0
Brass Dragon Wyrmling,Swarm of Centipedes,52.0,48.0,48.0
Brass Dragon Wyrmling,Swarm of Insects,52.0,48.0,48.0
Brass Dragon Wyrmling,Swarm of Spiders,52.0,48.0,48.0
Brass Dragon Wyrmling,Swarm of Wasps,52.0,48.0,48.0
Bugbear,Will-o'-Wisp,48.0,52.0,48.0
Bulette,Glabrezu,48.0,52.0,48.0
Cat,Poisonous Snake,48.0,52.0,48.0
Centaur,Doppelganger,48.0,52.0,48.0
Chain Devil,Green Hag,48.0,52.0,48.0
Clay Golem,Triceratops,52.0,48.0,48.0
Copper Dragon Wyrmling,Specter,52.0,48.0,48.0
Couatl,Killer Whale,48.0,52.0,48.0
Crab,Jackal,52.0,48.0,48.0
Death Dog,Specter,48.0,52.0,48.0
Deer,Goat,48.0,52.0,48.0
Deer,Stirge,48.0,52.0,48.0
Drow,Scout,48.0,52.0,48.0
Dryad,Quasit,52.0,48.0,48.0
Duergar,Giant Spider,48.0,52.0,48.0
Earth Elemental,Triceratops,48.0,52.0,48.0
Ghost,Giant Constrictor Snake,52.0,48.0,48.0
Ghost,Gibbering Mouther,52.0,48.0,48.0
Ghost,Half-Red Dragon Veteran,52.0,48.0,48.0
Ghoul,Harpy,48.0,52.0,48.0
Giant Ape,Marilith,48.0,52.0,48.0
Giant Ape,Young Blue Dragon,52.0,48.0,48.0
Giant Boar,Mimic,52.0,48.0,48.0
Giant Constrictor Snake,Gibbering Mouther,52.0,48.0,48.0
Giant Constrictor Snake,Ogre,48.0,52.0,48.0
Giant Crab,Magmin,52.0,48.0,48.0
Giant Goat,Hippogriff,52.0,48.0,48.0
Giant Goat,Rust Monster,52.0,48.0,48.0
Giant Goat,Thug,48.0,52.0,48.0
Giant Poisonous Snake,Swarm of Bats,52.0,48.0,48.0
Giant Rat,Mule,52.0,48.0,48.0
Giant Rat (Diseased),Mule,52.0,48.0,48.0
Giant Scorpion,Green Dragon Wyrmling,48.0,52.0,48.0
Gladiator,Wraith,48.0,52.0,48.0
Gray Ooze,Sahuagin,48.0,52.0,48.0
Grimlock,Magmin,52.0,48.0,48.0
Gynosphinx,Young Green Dragon,52.0,48.0,48.0
Half-Red Dragon Veteran,Medusa,52.0,48.0,48.0
Harpy,Swarm of Beetles,48.0,52.0,48.0
Harpy,Swarm of Centipedes,48.0,52.0,48.0
Harpy,Swarm of Insects,48.0,52.0,48.0
Harpy,Swarm of Spiders,48.0,52.0,48.0
Harpy,Swarm of Wasps,48.0,52.0,48.0
Hell Hound,Polar Bear,48.0,52.0,48.0
Hezrou,Triceratops,52.0,48.0,48.0
Hippogriff,Thug,52.0,48.0,48.0
Hobgoblin,Swarm of Bats,48.0,52.0,48.0
Homunculus,Hyena,52.0,48.0,48.0
Hunter Shark,Rhinoceros,52.0,48.0,48.0
Ice Mephit,Zombie,48.0,52.0,48.0
Magma Mephit,Zombie,52.0,48.0,48.0
Night Hag,Shield Guardian,48.0,52.0,48.0
Oni,Wyvern,52.0,48.0,48.0
Owlbear,"Weretiger, Human Form",52.0,48.0,48.0
Pseudodragon,Quasit,48.0,52.0,48.0
Reef Shark,Spy,52.0,48.0,48.0
Salamander,"Werebear, Human Form",52.0,48.0,48.0
Shield Guardian,Young Brass Dragon,48.0,52.0,48.0
Young Gold Dragon,Young Red Dragon,52.0,48.0,48.0
Adult Gold Dragon,Roc,52.5,47.5,47.5
Adult Red Dragon,Roc,52.5,47.5,47.5
Air Elemental,Killer Whale,47.5,52.5,47.5
Animated Armor,"Werewolf, Hybrid Form",47.5,52.5,47.5
Animated Armor,"Werewolf, Wolf Form",47.5,52.5,47.5
Axe Beak,Swarm of Rats,52.5,47.5,47.5
Azer,Giant Boar,47.5,52.5,47.5
Bandit,Goblin,47.5,52.5,47.5
Behir,Cloud Giant,47.5,52.5,47.5
Black Pudding,Giant Scorpion,52.5,47.5,47.5
Black Pudding,Swarm of Quippers,52.5,47.5,47.5
Bulette,Ice Devil,47.5,52.5,47.5
Bulette,Stone Giant,52.5,47.5,47.5
Chimera,Elephant,47.5,52.5,47.5
Clay Golem,Young Copper Dragon,52.5,47.5,47.5
Cockatrice,Wolf,52.5,47.5,47.5
Couatl,Elephant,47.5,52.5,47.5
Crab,Hawk,52.5,47.5,47.5
Crab,Quipper,52.5,47.5,47.5
Crab,Weasel,52.5,47.5,47.5
Crocodile,Swarm of Ravens,47.5,52.5,47.5
Dryad,Giant Badger,52.5,47.5,47.5
Duergar,Giant Toad,47.5,52.5,47.5
Duergar,Grick,47.5,52.5,47.5
Dust Mephit,Giant Crab,52.5,47.5,47.5
Eagle,Kobold,47.5,52.5,47.5
Gelatinous Cube,Giant Elk,52.5,47.5,47.5
Gelatinous Cube,Veteran,47.5,52.5,47.5
Ghost,Pegasus,52.5,47.5,47.5
Giant Crocodile,Hydra,47.5,52.5,47.5
Giant Elk,Sea Hag,52.5,47.5,47.5
Giant Shark,Roper,47.5,52.5,47.5
Giant Toad,Grick,52.5,47.5,47.5
Gibbering Mouther,Silver Dragon Wyrmling,47.5,52.5,47.5
Gibbering Mouther,Vampire Spawn,52.5,47.5,47.5
Glabrezu,Mammoth,52.5,47.5,47.5
Grimlock,Sahuagin,47.5,52.5,47.5
Hunter Shark,Silver Dragon Wyrmling,52.5,47.5,47.5
Hunter Shark,"Wereboar, Human Form",52.5,47.5,47.5
Hydra,Young Copper Dragon,47.5,52.5,47.5
Ice Devil,Mammoth,52.5,47.5,47.5
Imp,Magmin,52.5,47.5,47.5
Killer Whale,"Werebear, Bear Form",52.5,47.5,47.5
Killer Whale,"Werebear, Hybrid Form",52.5,47.5,47.5
Lamia,Wyvern,47.5,52.5,47.5
Magma Mephit,Sahuagin,47.5,52.5,47.5
Magmin,Wolf,52.5,47.5,47.5
Mule,Violet Fungus,52.5,47.5,47.5
Ochre Jelly,Tiger,47.5,52.5,47.5
Ogre,"Weretiger, Human Form",47.5,52.5,47.5
Pegasus,"Wereboar, Boar Form",52.5,47.5,47.5
Pegasus,"Wereboar, Hybrid Form",52.5,47.5,47.5
Plesiosaurus,Red Dragon Wyrmling,52.5,47.5,47.5
Rat,Raven,52.5,47.5,47.5
Rat,Spider,52.5,47.5,47.5
Roper,Stone Giant,47.5,52.5,47.5
Saber-Toothed Tiger,Sea Hag,52.5,47.5,47.5
Sea Hag,"Wereboar, Human Form",47.5,52.5,47.5
Shambling Mound,Shield Guardian,47.5,52.5,47.5
Stone Giant,Young Blue Dragon,47.5,52.5,47.5
Vrock,"Werebear, Human Form",52.5,47.5,47.5
Warhorse Skeleton,White Dragon Wyrmling,47.5,52.5,47.5
Aboleth,Triceratops,47.0,53.0,47.0
Aboleth,Young White Dragon,53.0,47.0,47.0
Adult Brass Dragon,Stone Golem,47.0,53.0,47.0
Ape,Giant Bat,53.0,47.0,47.0
Ape,Lizardfolk,53.0,47.0,47.0
Ape,Shadow,53.0,47.0,47.0
Awakened Tree,Barbed Devil,53.0,47.0,47.0
Baboon,Poisonous Snake,47.0,53.0,47.0
Bearded Devil,Giant Scorpion,47.0,53.0,47.0
Black Dragon Wyrmling,Ghast,47.0,53.0,47.0
Blink Dog,Cult Fanatic,47.0,53.0,47.0
Blink Dog,Scout,53.0,47.0,47.0
Blue Dragon Wyrmling,Rhinoceros,53.0,47.0,47.0
Bone Devil,Giant Crocodile,53.0,47.0,47.0
Brass Dragon Wyrmling,Harpy,47.0,53.0,47.0
Bronze Dragon Wyrmling,Giant Boar,53.0,47.0,47.0
Bronze Dragon Wyrmling,Merrow,47.0,53.0,47.0
Brown Bear,Ettercap,53.0,47.0,47.0
Bugbear,Dire Wolf,47.0,53.0,47.0
Bugbear,Swarm of Quippers,53.0,47.0,47.0
Commoner,Giant Fire Beetle,47.0,53.0,47.0
Constrictor Snake,Skeleton,47.0,53.0,47.0
Couatl,Xorn,53.0,47.0,47.0
Crocodile,Hippogriff,53.0,47.0,47.0
Darkmantle,Hippogriff,53.0,47.0,47.0
Dust Mephit,Wolf,53.0,47.0,47.0
Earth Elemental,Young White Dragon,53.0,47.0,47.0
Ettin,Vrock,53.0,47.0,47.0
Ettin,Wyvern,53.0,47.0,47.0
Fire Giant,Purple Worm,53.0,47.0,47.0
Flying Sword,Spy,47.0,53.0,47.0
Gelatinous Cube,Sea Hag,47.0,53.0,47.0
Ghost,Vampire Spawn,47.0,53.0,47.0
Giant Badger,Goblin,53.0,47.0,47.0
Giant Crab,Giant Frog,53.0,47.0,47.0
Giant Crab,Gray Ooze,53.0,47.0,47.0
Giant Crab,Zombie,53.0,47.0,47.0
Giant Elk,Manticore,53.0,47.0,47.0
Giant Lizard,Gnoll,47.0,53.0,47.0
Giant Lizard,Lizardfolk,47.0,53.0,47.0
Giant Lizard,Reef Shark,53.0,47.0,47.0
Giant Owl,"Wererat, Hybrid Form",53.0,47.0,47.0
Giant Owl,"Wererat, Rat Form",53.0,47.0,47.0
Giant Scorpion,Mimic,47.0,53.0,47.0
Giant Shark,Young Bronze Dragon,53.0,47.0,47.0
Giant Wasp,Skeleton,47.0,53.0,47.0
Gnoll,Shadow,47.0,53.0,47.0
Gold Dragon Wyrmling,Ogre Zombie,53.0,47.0,47.0
Gold Dragon Wyrmling,Troll,47.0,53.0,47.0
Gold Dragon Wyrmling,Winter Wolf,53.0,47.0,47.0
Gorgon,Stone Giant,47.0,53.0,47.0
Gorgon,Young Bronze Dragon,53.0,47.0,47.0
Imp,Sahuagin,47.0,53.0,47.0
Jackal,Poisonous Snake,47.0,53.0,47.0
Manticore,Sea Hag,53.0,47.0,47.0
Mummy,Succubus/Incubus,53.0,47.0,47.0
Ogre Zombie,Winter Wolf,53.0,47.0,47.0
Orc,Satyr,47.0,53.0,47.0
Orc,"Wererat, Human Form",47.0,53.0,47.0
Owlbear,Unicorn,47.0,53.0,47.0
Panther,Skeleton,47.0,53.0,47.0
Pony,Skeleton,47.0,53.0,47.0
Reef Shark,Swarm of Ravens,47.0,53.0,47.0
Rhinoceros,"Wereboar, Boar Form",53.0,47.0,47.0
Rhinoceros,"Wereboar, Hybrid Form",53.0,47.0,47.0
Swarm of Poisonous Snakes,Tiger,53.0,47.0,47.0
Tiger,White Dragon Wyrmling,53.0,47.0,47.0
Warhorse Skeleton,Will-o'-Wisp,47.0,53.0,47.0
Acolyte,Giant Centipede,53.5,46.5,46.5
Adult Bronze Dragon,Fire Giant,53.5,46.5,46.5
Ancient Green Dragon,Dragon Turtle,53.5,46.5,46.5
Ape,Hippogriff,46.5,53.5,46.5
Ape,Orc,46.5,53.5,46.5
Assassin,Vampire Spawn,46.5,53.5,46.5
Axe Beak,Hobgoblin,53.5,46.5,46.5
Azer,Bugbear,53.5,46.5,46.5
Azer,Green Dragon Wyrmling,46.5,53.5,46.5
Balor,Storm Giant,53.5,46.5,46.5
Bandit Captain,Mummy,53.5,46.5,46.5
Black Bear,Giant Poisonous Snake,53.5,46.5,46.5
Black Dragon Wyrmling,Swarm of Quippers,46.5,53.5,46.5
Black Pudding,Giant Boar,53.5,46.5,46.5
Bugbear,Ghast,53.5,46.5,46.5
Bugbear,Giant Scorpion,53.5,46.5,46.5
Bugbear,Hell Hound,46.5,53.5,46.5
Chimera,Green Hag,53.5,46.5,46.5
Constrictor Snake,Giant Sea Horse,53.5,46.5,46.5
Cultist,Violet Fungus,53.5,46.5,46.5
Draft Horse,Giant Eagle,46.5,53.5,46.5
Drider,"Wereboar, Human Form",46.5,53.5,46.5
Gelatinous Cube,Rhinoceros,53.5,46.5,46.5
Ghast,Giant Boar,53.5,46.5,46.5
Ghast,Giant Scorpion,53.5,46.5,46.5
Giant Constrictor Snake,Half-Red Dragon Veteran,53.5,46.5,46.5
Giant Constrictor Snake,Vampire Spawn,53.5,46.5,46.5
Giant Goat,"Wererat, Hybrid Form",53.5,46.5,46.5
Giant Goat,"Wererat, Rat Form",53.5,46.5,46.5
Giant Owl,Orc,53.5,46.5,46.5
Giant Spider,Worg,46.5,53.5,46.5
Giant Toad,Worg,46.5,53.5,46.5
Giant Wolf Spider,Grimlock,46.5,53.5,46.5
Gnoll,Reef Shark,46.5,53.5,46.5
Gorgon,Roper,53.5,46.5,46.5
Griffon,Manticore,46.5,53.5,46.5
Hyena,Stirge,53.5,46.5,46.5
Mage,Satyr,53.5,46.5,46.5
Minotaur,Otyugh,46.5,53.5,46.5
Mummy,Saber-Toothed Tiger,46.5,53.5,46.5
Night Hag,Shambling Mound,53.5,46.5,46.5
Nightmare,Plesiosaurus,46.5,53.5,46.5
Noble,Panther,46.5,53.5,46.5
Orc,Swarm of Beetles,53.5,46.5,46.5
Orc,Swarm of Centipedes,53.5,46.5,46.5
Orc,Swarm of Insects,53.5,46.5,46.5
Orc,Swarm of Spiders,53.5,46.5,46.5
Orc,Swarm of Wasps,53.5,46.5,46.5
Pony,Zombie,53.5,46.5,46.5
Raven,Sprite,53.5,46.5,46.5
Salamander,Wyvern,46.5,53.5,46.5
Scout,Swarm of Bats,53.5,46.5,46.5
Spider,Sprite,53.5,46.5,46.5
Spirit Naga,"Weretiger, Human Form",53.5,46.5,46.5
Swarm of Ravens,Swarm of Spiders,46.5,53.5,46.5
Swarm of Ravens,Swarm of Wasps,46.5,53.5,46.5
"Weretiger, Hybrid Form","Weretiger, Tiger Form",53.5,46.5,46.5
Aboleth,Young Black Dragon,46.0,54.0,46.0
Acolyte,Flying Snake,54.0,46.0,46.0
Adult Blue Dragon,Purple Worm,46.0,54.0,46.0
Ancient Black Dragon,Ancient Green Dragon,54.0,46.0,46.0
Ankheg,Giant Octopus,54.0,46.0,46.0
Assassin,Berserker,54.0,46.0,46.0
Baboon,Badger,46.0,54.0,46.0
Badger,Commoner,46.0,54.0,46.0
Badger,Sprite,54.0,46.0,46.0
Barbed Devil,Winter Wolf,54.0,46.0,46.0
Bat,Hawk,46.0,54.0,46.0
Bat,Quipper,46.0,54.0,46.0
Bat,Weasel,46.0,54.0,46.0
Berserker,Blue Dragon Wyrmling,54.0,46.0,46.0
Black Dragon Wyrmling,Bugbear,46.0,54.0,46.0
Blue Dragon Wyrmling,Ogre,46.0,54.0,46.0
Blue Dragon Wyrmling,"Wereboar, Boar Form",46.0,54.0,46.0
Blue Dragon Wyrmling,"Wereboar, Hybrid Form",46.0,54.0,46.0
Brass Dragon Wyrmling,Warhorse,46.0,54.0,46.0
Brown Bear,Warhorse Skeleton,54.0,46.0,46.0
Brown Bear,Worg,54.0,46.0,46.0
Bugbear,Green Dragon Wyrmling,46.0,54.0,46.0
Bulette,Mammoth,54.0,46.0,46.0
Camel,Cultist,46.0,54.0,46.0
